state,segment,channel_group_name,bids,sold,total_cost,quote_started,quotes,binds,q2b_score,scored_policies,cpb,target_cpb,performance,roe,combined_ratio,mrltv,profit,equity
OR,MCH,EQ (Click),1,0,0,0,0,0,,0,,0,,0,0,,,
OR,MCH,Group 07 MCH,276,0,0,0,0,0,,0,,0,,0,0,,,
OR,MCH,Group 10,218,0,0,0,0,0,,0,,0,,0,0,,,
OR,MCH,Group 10 MCH,8453,44,260.4100000000001,30,6,0,0,0,,0,,0,0,,,
OR,MCH,Group 100 MCH,1135,191,10704.889999999994,175,74,6,0.08108108108108109,5,1784.1483333333324,2172.6315508736184,1.217741546642863,-0.2205044990757341,1.1024798933298667,1924.837949708,1354.5375481659999,1848.41699032
OR,MCH,Group 110 MCH,544,113,9046.07,111,52,6,0.11538461538461539,6,1507.6783333333333,2483.00748671271,1.6469079854872073,0.27429171611098335,0.8727206672797863,2078.6787294166666,2456.6226637333334,3527.4767203166666
OR,MCH,Group 120,9,2,60,2,1,0,0,0,,0,,0,0,,,
OR,MCH,Group 120 MCH,514,141,12077.640000000007,128,63,11,0.1746031746031746,11,1097.9672727272734,2483.00748671271,2.261458559274808,0.11224526719040862,0.9477880082655463,1979.360039749091,1275.1331807836361,1699.1456686363638
OR,MCH,Group 130 MCH,958,158,12660.72999999999,150,84,4,0.047619047619047616,4,3165.1824999999976,2483.00748671271,0.7844752985689488,-1.2071060286362365,1.5524111687072735,1016.449778395,1188.4374560249998,1605.2183245275
OR,MCH,Group 140 MCH,927,161,12950.91,144,74,11,0.14864864864864866,11,1177.3554545454544,2483.00748671271,2.108970130580771,0.1811385534747631,0.9135664186302882,1906.7367270627276,1591.174515378182,2364.788197437273
OR,MCH,Group 15 MCH,3349,66,492.94,53,15,0,0,0,,0,,0,0,,,
OR,MCH,Group 150 MCH,518,119,12258.199999999999,130,71,4,0.056338028169014086,4,3064.5499999999997,2483.00748671271,0.8102355930602243,0.016711453695654396,0.9918280573688402,2874.324943795,3119.928875145,5577.780811882499
OR,MCH,Group 160 MCH,156,38,3102.6099999999997,38,21,3,0.14285714285714285,3,1034.2033333333331,2870.9583244751398,2.7760095446818713,0.181548868376781,0.9169686252695016,1158.4051896,1355.6383879999998,1840.8431847666668
OR,MCH,Group 170 MCH,339,97,8774.609999999997,90,36,1,0.027777777777777776,1,8774.609999999997,2483.00748671271,0.28297639287816906,-9.690738748209297,5.318187322084299,585.35026914,673.71774421,824.76310062
OR,MCH,Group 180 MCH,283,75,8661.470000000001,71,41,3,0.07317073170731707,3,2887.156666666667,2483.00748671271,0.8600182717411858,-0.6165187881728386,1.308832344928828,966.2089529866666,1245.3405574700002,2605.2283086
OR,MCH,Group 20 MCH,12424,347,4010.4800000000027,297,81,3,0.037037037037037035,3,1336.8266666666675,2483.00748671271,1.857389255185944,0.04938880068742466,0.9779624850309655,1219.44680389,1406.58733201,1746.6449289
OR,MCH,Group 200 MCH,159,59,6536.329999999999,62,35,5,0.14285714285714285,5,1307.2659999999998,2483.00748671271,1.8993896320356456,0.058620732863691995,0.9720988900173715,1904.424865464,1420.493232076,2206.83557124
OR,MCH,Group 210 MCH,6,3,389.96,3,2,0,0,0,,0,,0,0,,,
OR,MCH,Group 225 MCH,231,63,6905.740000000001,66,34,1,0.029411764705882353,1,6905.740000000001,2483.00748671271,0.3595570477186673,-2.0932284257866027,1.9055460868924363,1860.0761643,2101.6137025,2254.3503566
OR,MCH,Group 25 MCH,2898,279,3425.820000000003,260,57,2,0.03508771929824561,2,1712.9100000000014,2483.00748671271,1.449584325336829,-0.24010546504284497,1.1136834298522116,1022.8953999299999,1229.2733064,1926.19379355
OR,MCH,Group 250 MCH,145,37,4286.01,34,24,1,0.041666666666666664,1,4286.01,2483.00748671271,0.5793284399039456,-1.183510242743174,1.5470160683559544,1337.4704793,1577.8492637,2243.5353212
OR,MCH,Group 275 MCH,251,93,13000.220000000001,89,65,7,0.1076923076923077,7,1857.1742857142858,2483.00748671271,1.3369814054676743,0.03582285149782964,0.9839615255099294,2151.8607533642858,1920.8300164571426,2416.999337685714
OR,MCH,Group 30 MCH,7369,558,7744.190000000002,493,113,6,0.05309734513274336,6,1290.6983333333337,2358.857112377073,1.827582054967974,0.2418477218632146,0.8902586859290436,1870.3117476633333,1838.848718375,2332.3971299833333
OR,MCH,Group 300,5,2,217.45000000000002,4,2,0,0,0,,0,,0,0,,,
OR,MCH,Group 300 MCH,143,56,7682.389999999999,48,29,3,0.10344827586206896,3,2560.7966666666666,2483.00748671271,0.9696230548225396,-0.4934923861966317,1.2231975269099837,1328.8379462133332,1542.9583819,1998.4574001333333
OR,MCH,Group 325 MCH,30,3,365.03999999999996,3,3,4,1.3333333333333333,3,91.25999999999999,2483.00748671271,27.20805924515352,0.4979307686484433,0.7405816797052438,2392.64754825,991.5023554666667,1810.229612
OR,MCH,Group 35 MCH,1212,148,2068.790000000001,131,45,0,0,0,,0,,0,0,,,
OR,MCH,Group 350 MCH,41,15,1958.73,11,9,1,0.1111111111111111,1,1958.73,2483.00748671271,1.267661947646031,-0.3959035654498269,1.1860394728494497,1022.2526393,1216.5606454,1813.5413909
OR,MCH,Group 375 MCH,35,9,1042.1999999999998,8,6,0,0,0,,0,,0,0,,,
OR,MCH,Group 40 MCH,5592,582,9196.52,543,178,11,0.06179775280898876,11,836.0472727272728,2483.0074867127105,2.9699367101729583,0.12065613669546567,0.9431885463538563,1144.4157509699999,1006.4949761872726,1498.2186540954544
OR,MCH,Group 400 MCH,48,10,1266.44,6,5,0,0,0,,0,,0,0,,,
OR,MCH,Group 45 MCH,2128,252,3893.550000000003,223,64,1,0.015625,0,3893.550000000003,2483.00748671271,0.6377232825346298,0,0,,,
OR,MCH,Group 5 MCH,5457,24,77.28,19,0,0,,0,,0,,0,0,,,
OR,MCH,Group 50 MCH,2124,337,6847.629999999998,313,113,6,0.05309734513274336,6,1141.2716666666663,2483.00748671271,2.1756498117270158,0.24282586602506873,0.8883211466180334,1860.2924380283332,1668.593531381667,2229.629187533333
OR,MCH,Group 500 MCH,87,12,1751.5,12,9,1,0.1111111111111111,1,1751.5,2483.00748671271,1.4176462955824778,0.3241694454905536,0.8561059132604268,2482.3225803,2853.7941998,3467.068449
OR,MCH,Group 55 MCH,2680,549,8755.06,472,151,4,0.026490066225165563,4,2188.765,2587.7450535310772,1.182285468531833,-0.11298147741904345,1.0520242771666335,2377.8785730325003,1881.1800241800001,2483.267099225
OR,MCH,Group 550 MCH,11,6,817.84,5,5,0,0,0,,0,,0,0,,,
OR,MCH,Group 60 MCH,1567,168,3953.740000000001,148,43,1,0.023255813953488372,1,3953.740000000001,2483.00748671271,0.6280148635754271,-1.3191578930582604,1.6003704664028355,1194.4226711,1398.0342359,1900.3746044
OR,MCH,Group 600 MCH,39,11,1603.4099999999999,11,10,1,0.1,1,1603.4099999999999,2483.00748671271,1.5485792696270513,-0.0006707778032682596,1.000315205911448,1329.3519691,1582.0328825,2358.3551917
OR,MCH,Group 65 MCH,196,50,1366.9800000000007,37,14,1,0.07142857142857142,1,1366.9800000000007,2483.00748671271,1.816418299252885,0.37013125168137595,0.8338909903689432,2213.0788529,2564.6594741,3281.4191314
OR,MCH,Group 650 MCH,3,1,150,2,2,0,0,0,,0,,0,0,,,
OR,MCH,Group 70 MCH,638,113,4185.070000000001,105,46,3,0.06521739130434782,3,1395.0233333333335,2358.857112377073,1.690908715297765,0.11379936112457285,0.945990358430669,1395.3668628566666,1678.1092304000001,2638.9287636333333
OR,MCH,Group 700 MCH,5,3,450,2,1,0,0,0,,0,,0,0,,,
OR,MCH,Group 75 MCH,19,4,95.35,2,0,0,,0,,0,,0,0,,,
OR,MCH,Group 80 MCH,3236,256,11522.590000000002,222,94,4,0.0425531914893617,4,2880.6475000000005,2483.00748671271,0.861961585620146,-0.5880356497254543,1.2641880499249165,1406.2218787025,1627.983328325,2069.77352965
OR,MCH,Group 90 MCH,408,102,6155.459999999998,93,37,4,0.10810810810810811,4,1538.8649999999996,2483.00748671271,1.613531717670303,0.03178867944561785,0.9873137347937574,2373.47896463,1573.544952185,1688.5975276249999
OR,MCH,KG MCH Search,2,1,111.65,1,0,0,,0,,0,,0,0,,,
OR,MCH,MDA (Click),485,3,132.70999999999998,1,0,0,,0,,0,,0,0,,,
OR,MCR,Group 05,51,0,0,0,0,0,,0,,0,,0,0,,,
OR,MCR,Group 10 MCR,10185,15,45.32,13,1,0,0,0,,0,,0,0,,,
OR,MCR,Group 100 MCR,761,43,715.5400000000002,46,19,0,0,0,,0,,0,0,,,
OR,MCR,Group 110 MCR,472,17,527.15,14,10,1,0.1,1,527.15,2000,3.793986531347814,0.267499629708905,0.8706854690052169,803.58446541,992.63333632,1764.4561285
OR,MCR,Group 120 MCR,3288,57,1494.9800000000005,46,29,4,0.13793103448275862,4,373.7450000000001,2000,5.351242157085712,0.480808980598211,0.772981594176526,1443.525356305,1355.4769619499998,2051.4302718
OR,MCR,Group 130 MCR,98,5,113.83,1,1,0,0,0,,0,,0,0,,,
OR,MCR,Group 140 MCR,3335,24,500.27000000000004,26,16,1,0.0625,1,500.27000000000004,2000,3.9978411657704838,0.5123443250122662,0.7631954771512346,1542.6154644,1819.864223,2587.655081
