channel_group_name,state,testing_point,opps,bids,win_rate,sold,binds,quotes,click_to_quote,channel_quote,click_to_channel_quote,q2b,channel_binds,channel_q2b,cpc,avg_bid,win_rate_uplift_state,cpc_uplift_state,win_rate_uplift_channel,cpc_uplift_channel,performance,roe,combined_ratio,win_rate_uplift,cpc_uplift,additional_clicks,expected_bind_change,additional_budget_needed,current_cpb,expected_cpb,cpb_uplift,stat_sig,stat_sig_channel_group,stat_sig_source,recommended_testing_point,segment
Group 05,OR,-15,2,2,0,0,0,0,0,0,0,,0,,,1,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 05,OR,-10,2,2,0,0,0,0,0,0,0,,0,,,0.39,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 05,OR,-5,9,9,0,0,0,0,0,0,0,,0,,,0.6977777777777777,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 05,OR,0,29,29,0,0,0,0,0,0,0,,0,,,0.7406896551724139,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,
Group 05,OR,5,3,3,0,0,0,0,0,0,0,,0,,,0.8833333333333333,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 05,OR,10,5,5,0,0,0,0,0,0,0,,0,,,0.674,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 05,OR,20,1,1,0,0,0,0,0,0,0,,0,,,0.67,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 07 MCH,OR,-15,30,30,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,2.354,,,-1,,,0,0,-1,,0,0,,,,,low,low,channel only,0,MCH
Group 07 MCH,OR,-10,24,24,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,2.29375,,,-1,,,0,0,-1,,0,0,,,,,low,low,channel only,0,MCH
Group 07 MCH,OR,-5,32,32,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,2.6499999999999995,,,-1,,,0,0,-1,,0,0,,,,,low,low,channel only,0,MCH
Group 07 MCH,OR,0,141,141,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,2.6278014184397147,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,MCH
Group 07 MCH,OR,5,27,27,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,3.0214814814814814,,,-1,,,0,0,-1,,0,0,,,,,low,low,channel only,0,MCH
Group 07 MCH,OR,10,22,22,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,3.247727272727273,,,-1,,,0,0,-1,,0,0,,,,,low,low,channel only,0,MCH
Group 07 SCH,OR,-20,7,7,0,0,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,,1.0285714285714287,,,2.967842323651452,,,0,0,2.967842323651452,,0,0,,,,,low,mid,channel only,0,SCH
Group 07 SCH,OR,-10,1,1,0,0,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,,1,,,1.9243119266055047,,,0,0,1.9243119266055047,,0,0,,,,,low,low,channel only,0,SCH
Group 07 SCH,OR,0,38,38,0,0,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,,1.0355263157894736,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,SCH
