channel_group_name,state,testing_point,opps,bids,win_rate,sold,binds,quotes,click_to_quote,channel_quote,click_to_channel_quote,q2b,channel_binds,channel_q2b,cpc,avg_bid,win_rate_uplift_state,cpc_uplift_state,win_rate_uplift_channel,cpc_uplift_channel,performance,roe,combined_ratio,win_rate_uplift,cpc_uplift,additional_clicks,expected_bind_change,additional_budget_needed,current_cpb,expected_cpb,cpb_uplift,stat_sig,stat_sig_channel_group,stat_sig_source,recommended_testing_point,segment,used_in_rollup
Group 05,OR,0,29,29,0,0,0,0,0,0,0,,0,,,0.7406896551724139,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,,true
Group 07 MCH,OR,0,141,141,0,0,0,0,0,0,0,0.07815213615838833,0,0.07498017732285735,,2.6278014184397147,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,MCH,true
Group 07 SCH,OR,0,38,38,0,0,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,,1.0355263157894736,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,SCH,true
Group 10,OR,0,104,104,0,0,0,0,0,0,0,,0,,,2.8034615384615376,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,,true
Group 10 MCH,OR,0,4306,4306,0.005109150023223409,22,0,2,0.00046446818392940084,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,6.1804545454545465,4.028934045517872,,,,,,0,0,,,0,0,6.509277751973968,,,,baseline,baseline,baseline,0,MCH,true
Group 10 MCR,OR,0,5005,5005,0.0013986013986013986,7,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,3.235714285714285,1.5090229770229782,,,,,,0,0,,,0,0,0.7719580419580367,,,,baseline,baseline,baseline,0,MCR,true
Group 10 SCH,OR,0,4431,4431,0.002933874971789664,13,0,0,0,0,0,0.05909617612977984,6,0.060943846702427834,1.6153846153846154,1.3036312344843155,,,,,,0,0,,,0,0,-5.123696682464455,,,,baseline,baseline,baseline,0,SCH,true
Group 10 SCR,OR,0,434,434,0,0,0,0,0,0,0,0.03535353535353535,1,0.08274938169826876,,0.7858525345622115,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,SCR,true
Group 100 MCH,OR,-5,128,128,0.2109375,27,6,13,0.1015625,74,0.06519823788546256,0.07815213615838833,145,0.07498017732285735,50.81814814814814,50.53835937500001,0.16341817010309273,-0.11181735831912254,-0.006325863448262356,-0.1294300172288815,,0,0,-0.006325863448262356,-0.1294300172288815,33.62901577102804,1.265419720456653,1461.6892968749962,1784.1483333333335,1674.5872592354915,-0.06140805226275582,low,low,channel only,-5,MCH,true
Group 100 MCR,OR,0,369,369,0.06504065040650407,24,0,8,0.02168021680216802,19,0.024967148488830485,0.0441400304414003,49,0.07628979143798024,16.38583333333333,12.587560975609765,,,,,,0,0,,,0,0,95.49214092140915,,,,baseline,baseline,baseline,0,MCR,true
Group 100 SCH,OR,30,116,116,0.3017241379310345,35,3,8,0.06896551724137931,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,12.133142857142856,11.921293103448276,0.5834070144414971,0.13776476070635646,0.35669651422645177,0.22247102511882133,,0,0,0.5834070144414971,0.13776476070635646,136.29490059530494,2.550764453542624,1597.1168965517231,963.6999999999999,808.5763563048043,-0.16096673621998092,high,high,channel & state,30,SCH,true
Group 100 SCR,OR,0,1856,1856,0.02209051724137931,41,1,12,0.00646551724137931,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,10.403170731707318,10.623410560344805,,,,,,0,0,,,0,0,248.10000000000002,604.96,853.0600000000001,0.4101097593229305,baseline,baseline,baseline,0,SCR,true
Group 110 MCH,OR,5,50,50,0.26,13,6,7,0.14,52,0.09558823529411764,0.07815213615838833,196,0.07498017732285735,75.51846153846154,57.808199999999985,0.2315789473684211,-0.07094923948211469,0.3634785051565858,0.025220148296714255,2.5291905053402224,0.6836572250143841,0.7077152335707118,0.3634785051565858,0.025220148296714255,26.59555555555555,0.7790857316360691,1635.261199999999,1507.6783333333333,1575.6300514320474,0.04507043485096672,low,high,channel only,5,MCH,true
Group 110 MCR,OR,0,249,249,0.040160642570281124,10,1,5,0.020080321285140562,10,0.0211864406779661,0.0441400304414003,44,0.07628979143798024,31.619999999999997,27.30975903614457,,,,,,0,0,,,0,0,72.23313253012054,527.15,599.3831325301205,0.13702576596816948,baseline,baseline,baseline,0,MCR,true
Group 110 SCH,OR,-10,90,90,0.03333333333333333,3,2,1,0.011111111111111112,11,0.011178861788617886,0.05909617612977984,58,0.060943846702427834,15.796666666666665,10.85088888888889,0.4000000000000001,0.15031251896352923,-0.19111320767457998,-0.08591792630672289,,0,0,-0.19111320767457998,-0.08591792630672289,9.37142857142857,0.19289296392830524,93.18066666666658,212.475,236.27722610705882,0.11202365505145936,low,mid,channel only,-10,SCH,true
Group 110 SCR,OR,0,103,103,0.02912621359223301,3,0,3,0.02912621359223301,4,0.01990049751243781,0.03535353535353535,8,0.08274938169826876,14.946666666666667,11.197864077669907,,,,,,0,0,,,0,0,35.153300970873794,,,,baseline,baseline,baseline,0,SCR,true
Group 120,OR,0,16,16,0.25,4,0,1,0.0625,2,0.09090909090909091,,3,,21.48,20.814375000000002,,,,,,0,0,,,0,0,27.75,,,,baseline,baseline,baseline,0,,true
Group 120 MCH,OR,10,61,61,0.32786885245901637,20,11,10,0.16393442622950818,63,0.122568093385214,0.07815213615838833,241,0.07498017732285735,87.412,75.7916393442623,0.3287316652286453,0.05108378530608658,0.13372391380607482,-0.03857626276160002,8.521738960483834,0.6219707381545343,0.7129117186144359,0.13372391380607482,-0.03857626276160002,41.693421332765595,1.6292149704536747,2653.4314754098377,1097.9672727272728,1166.4281200275316,0.06235235694248603,low,high,channel only,10,MCH,true
Group 120 MCR,OR,0,1663,1663,0.019242333132892364,32,4,14,0.00841852074564041,29,0.008819951338199513,0.0441400304414003,85,0.07628979143798024,25.009375000000013,19.768707155742604,,,,,4.998125702861424,0.25892172561835,0.8689094500960292,,,0,0,87.33292844257403,373.7450000000001,395.5782321106436,0.05841745604795649,baseline,baseline,baseline,0,MCR,true
Group 120 SCH,OR,-20,206,206,0.043689320388349516,9,3,5,0.024271844660194174,41,0.019158878504672898,0.05909617612977984,134,0.060943846702427834,16.197777777777773,11.112718446601942,0.00857260896508983,-0.13909809390980946,-0.0620968825036897,-0.03372326681769809,,0,0,-0.0620968825036897,-0.03372326681769809,0.7946848015748742,0.017535415917284428,-79.39640776699048,531.27,501.87102502412586,-0.05533716373195197,low,low,channel only,-20,SCH,true
Group 120 SCR,OR,0,244,244,0.01639344262295082,4,0,2,0.00819672131147541,3,0.005905511811023622,0.03535353535353535,41,0.08274938169826876,15.76,9.157459016393442,,,,,,0,0,,,0,0,2.9972131147541177,,,,baseline,baseline,baseline,0,SCR,true
Group 130 MCH,OR,-15,81,81,0.18518518518518517,15,4,8,0.09876543209876543,84,0.08768267223382047,0.07815213615838833,334,0.07498017732285735,73.70866666666667,56.789629629629616,0.04938271604938259,-0.06268357557765449,-0.25004720740895375,-0.16342998540357118,,0,0,-0.25004720740895375,-0.16342998540357118,8.348583877995623,0.22018050618711632,415.73345679012345,3165.1825,3098.555485391916,-0.02104997566746428,low,high,channel only,-15,MCH,true
Group 130 MCR,OR,0,45,45,0.06666666666666667,3,0,0,0,1,0.01020408163265306,0.0441400304414003,12,0.07628979143798024,20.856666666666666,18.784222222222212,,,,,,0,0,,,0,0,22.433555555555543,,,,baseline,baseline,baseline,0,MCR,true
Group 130 SCH,OR,0,96,96,0.08333333333333333,8,0,2,0.020833333333333332,5,0.024509803921568627,0.05909617612977984,39,0.060943846702427834,17.728749999999998,15.793749999999998,,,,,,0,0,,,0,0,3.988749999999982,,,,baseline,baseline,baseline,0,SCH,true
